City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
278,Harindanga,IN,2022-04-26 18:46:00,22.0383,88.3214,81.68,87,6,15.32
279,Malindi,KE,2022-04-26 18:46:01,-3.2175,40.1191,80.85,80,100,14.0
280,Dalnegorsk,RU,2022-04-26 18:46:01,44.5604,135.5701,40.62,87,100,5.84
281,Hua Hin,TH,2022-04-26 18:46:01,12.5707,99.9588,86.0,68,11,7.4
282,Biryusinsk,RU,2022-04-26 18:46:02,55.9634,97.8235,34.95,81,100,9.01
283,Galle,LK,2022-04-26 18:46:02,6.0367,80.217,80.78,81,81,3.53
284,Viedma,AR,2022-04-26 18:46:03,-40.8135,-62.9967,68.4,27,100,15.26
285,Taoudenni,ML,2022-04-26 18:46:03,22.6783,-3.9836,84.96,17,0,12.93
286,Saint-Joseph,RE,2022-04-26 18:46:03,-21.3667,55.6167,72.21,81,17,10.29
287,Fort Nelson,CA,2022-04-26 18:43:13,58.8053,-122.7002,38.79,87,100,5.75
288,Choa Saidan Shah,PK,2022-04-26 18:46:04,32.7201,72.9849,81.55,18,0,5.95
289,Pacifica,US,2022-04-26 18:45:33,37.6138,-122.4869,67.93,73,20,24.16
290,Rehoboth,NA,2022-04-26 18:46:04,-23.3167,17.0833,70.75,31,60,4.7
291,Talnakh,RU,2022-04-26 18:46:05,69.4865,88.3972,11.21,95,87,6.93
292,Niigata,JP,2022-04-26 18:46:05,37.9022,139.0236,64.92,97,100,16.15
293,Robertsport,LR,2022-04-26 18:46:05,6.7533,-11.3686,81.86,84,91,10.94
